  data         time
433     15:04:51
433     15:04:51
431     15:04:51
429     15:04:51
428     15:04:51
429     15:04:51
427     15:04:51
427     15:04:51
424     15:04:51
429     15:04:51
428     15:04:51
426     15:04:51
430     15:04:51
432     15:04:51
433     15:04:51
433     15:04:51
435     15:04:51
436     15:04:51
436     15:04:51
437     15:04:51
429     15:04:51
436     15:04:51
436     15:04:51
436     15:04:51
435     15:04:51
436     15:04:51
435     15:04:51
434     15:04:51
435     15:04:51
436     15:04:51
433     15:04:51
434     15:04:51
434     15:04:51
435     15:04:51
434     15:04:51
431     15:04:51
430     15:04:51
431     15:04:51
428     15:04:51
427     15:04:51
427     15:04:51
429     15:04:51
432     15:04:51
430     15:04:51
428     15:04:51
433     15:04:51
432     15:04:51
433     15:04:51
433     15:04:51
435     15:04:51
435     15:04:51
435     15:04:51
436     15:04:51
438     15:04:51
435     15:04:51
433     15:04:51
435     15:04:51
435     15:04:51
435     15:04:51
433     15:04:51
432     15:04:51
433     15:04:51
432     15:04:51
431     15:04:51
433     15:04:51
429     15:04:51
428     15:04:51
425     15:04:51
425     15:04:51
426     15:04:51
427     15:04:51
426     15:04:51
422     15:04:51
427     15:04:51
428     15:04:51
425     15:04:51
426     15:04:51
434     15:04:51
426     15:04:51
426     15:04:51
426     15:04:51
429     15:04:51
431     15:04:51
430     15:04:51
430     15:04:51
433     15:04:51
434     15:04:51
434     15:04:51
434     15:04:51
437     15:04:51
435     15:04:51
434     15:04:51
432     15:04:51
432     15:04:51
430     15:04:51
428     15:04:51
427     15:04:51
427     15:04:51
426     15:04:51
427     15:04:51
426     15:04:52
426     15:04:52
425     15:04:52
426     15:04:52
426     15:04:52
427     15:04:52
429     15:04:52
433     15:04:52
430     15:04:52
433     15:04:52
434     15:04:52
435     15:04:52
434     15:04:52
436     15:04:52
436     15:04:52
433     15:04:52
432     15:04:52
436     15:04:52
436     15:04:52
436     15:04:52
434     15:04:52
436     15:04:52
433     15:04:52
431     15:04:52
429     15:04:52
429     15:04:52
435     15:04:52
426     15:04:52
426     15:04:52
426     15:04:52
427     15:04:52
426     15:04:52
425     15:04:52
426     15:04:52
427     15:04:52
426     15:04:52
426     15:04:52
428     15:04:52
426     15:04:52
428     15:04:52
425     15:04:52
427     15:04:52
428     15:04:52
428     15:04:52
426     15:04:52
434     15:04:52
432     15:04:52
431     15:04:52
433     15:04:52
434     15:04:52
434     15:04:52
433     15:04:52
434     15:04:52
437     15:04:52
437     15:04:52
436     15:04:52
435     15:04:52
433     15:04:52
435     15:04:52
434     15:04:52
430     15:04:52
429     15:04:52
431     15:04:52
428     15:04:52
423     15:04:52
426     15:04:52
427     15:04:52
426     15:04:52
425     15:04:52
425     15:04:52
427     15:04:52
424     15:04:52
424     15:04:52
426     15:04:52
426     15:04:52
428     15:04:52
426     15:04:52
427     15:04:52
428     15:04:52
428     15:04:52
430     15:04:52
430     15:04:52
434     15:04:52
433     15:04:52
433     15:04:52
435     15:04:52
435     15:04:52
435     15:04:52
435     15:04:52
434     15:04:52
437     15:04:52
434     15:04:52
432     15:04:52
431     15:04:52
430     15:04:52
430     15:04:52
427     15:04:52
428     15:04:52
430     15:04:52
428     15:04:52
428     15:04:53
431     15:04:53
435     15:04:53
433     15:04:53
436     15:04:53
433     15:04:53
436     15:04:53
436     15:04:53
436     15:04:53
436     15:04:53
443     15:04:53
435     15:04:53
434     15:04:53
435     15:04:53
435     15:04:53
436     15:04:53
433     15:04:53
435     15:04:53
434     15:04:53
436     15:04:53
433     15:04:53
431     15:04:53
432     15:04:53
429     15:04:53
427     15:04:53
429     15:04:53
429     15:04:53
431     15:04:53
425     15:04:53
425     15:04:53
427     15:04:53
425     15:04:53
428     15:04:53
428     15:04:53
429     15:04:53
430     15:04:53
431     15:04:53
432     15:04:53
434     15:04:53
435     15:04:53
435     15:04:53
433     15:04:53
436     15:04:53
436     15:04:53
433     15:04:53
435     15:04:53
436     15:04:53
436     15:04:53
435     15:04:53
435     15:04:53
436     15:04:53
442     15:04:53
435     15:04:53
436     15:04:53
434     15:04:53
435     15:04:53
433     15:04:53
435     15:04:53
435     15:04:53
434     15:04:53
432     15:04:53
431     15:04:53
430     15:04:53
432     15:04:53
430     15:04:53
431     15:04:53
435     15:04:53
435     15:04:53
433     15:04:53
432     15:04:53
435     15:04:53
435     15:04:53
433     15:04:53
429     15:04:53
431     15:04:53
431     15:04:53
428     15:04:53
427     15:04:53
428     15:04:53
423     15:04:53
427     15:04:53
428     15:04:53
431     15:04:53
431     15:04:53
432     15:04:53
433     15:04:53
435     15:04:53
434     15:04:53
436     15:04:53
434     15:04:53
436     15:04:53
437     15:04:53
434     15:04:53
436     15:04:53
436     15:04:53
437     15:04:53
436     15:04:53
434     15:04:53
437     15:04:53
437     15:04:53
433     15:04:54
434     15:04:54
436     15:04:54
435     15:04:54
434     15:04:54
433     15:04:54
436     15:04:54
436     15:04:54
435     15:04:54
433     15:04:54
433     15:04:54
433     15:04:54
432     15:04:54
427     15:04:54
428     15:04:54
428     15:04:54
426     15:04:54
427     15:04:54
427     15:04:54
427     15:04:54
425     15:04:54
422     15:04:54
423     15:04:54
428     15:04:54
427     15:04:54
427     15:04:54
427     15:04:54
428     15:04:54
429     15:04:54
431     15:04:54
431     15:04:54
434     15:04:54
434     15:04:54
433     15:04:54
432     15:04:54
429     15:04:54
432     15:04:54
428     15:04:54
430     15:04:54
430     15:04:54
426     15:04:54
425     15:04:54
427     15:04:54
426     15:04:54
426     15:04:54
425     15:04:54
426     15:04:54
426     15:04:54
427     15:04:54
426     15:04:54
429     15:04:54
429     15:04:54
429     15:04:54
428     15:04:54
429     15:04:54
430     15:04:54
428     15:04:54
427     15:04:54
427     15:04:54
428     15:04:54
426     15:04:54
424     15:04:54
426     15:04:54
427     15:04:54
426     15:04:54
425     15:04:54
426     15:04:54
427     15:04:54
426     15:04:54
425     15:04:54
426     15:04:54
425     15:04:54
427     15:04:54
429     15:04:54
426     15:04:54
428     15:04:54
428     15:04:54
425     15:04:54
426     15:04:54
428     15:04:54
428     15:04:54
433     15:04:54
432     15:04:54
432     15:04:54
433     15:04:54
433     15:04:54
434     15:04:54
436     15:04:54
435     15:04:54
433     15:04:54
434     15:04:54
433     15:04:54
430     15:04:54
427     15:04:54
428     15:04:54
428     15:04:54
430     15:04:54
425     15:04:54
426     15:04:54
428     15:04:55
428     15:04:55
428     15:04:55
430     15:04:55
433     15:04:55
433     15:04:55
433     15:04:55
434     15:04:55
436     15:04:55
436     15:04:55
434     15:04:55
435     15:04:55
435     15:04:55
436     15:04:55
435     15:04:55
433     15:04:55
433     15:04:55
432     15:04:55
429     15:04:55
428     15:04:55
429     15:04:55
430     15:04:55
426     15:04:55
425     15:04:55
427     15:04:55
426     15:04:55
426     15:04:55
426     15:04:55
427     15:04:55
431     15:04:55
426     15:04:55
426     15:04:55
427     15:04:55
426     15:04:55
426     15:04:55
424     15:04:55
427     15:04:55
427     15:04:55
425     15:04:55
425     15:04:55
429     15:04:55
427     15:04:55
428     15:04:55
427     15:04:55
429     15:04:55
429     15:04:55
430     15:04:55
428     15:04:55
435     15:04:55
433     15:04:55
434     15:04:55
432     15:04:55
436     15:04:55
435     15:04:55
434     15:04:55
435     15:04:55
433     15:04:55
433     15:04:55
429     15:04:55
429     15:04:55
430     15:04:55
429     15:04:55
426     15:04:55
426     15:04:55
429     15:04:55
426     15:04:55
426     15:04:55
426     15:04:55
427     15:04:55
426     15:04:55
424     15:04:55
423     15:04:55
427     15:04:55
427     15:04:55
426     15:04:55
426     15:04:55
427     15:04:55
427     15:04:55
425     15:04:55
426     15:04:55
427     15:04:55
426     15:04:55
426     15:04:55
426     15:04:55
430     15:04:55
429     15:04:55
429     15:04:55
431     15:04:55
432     15:04:55
434     15:04:55
433     15:04:55
434     15:04:55
437     15:04:55
436     15:04:55
435     15:04:55
433     15:04:55
433     15:04:55
432     15:04:55
428     15:04:55
429     15:04:55
431     15:04:56
429     15:04:56
429     15:04:56
431     15:04:56
433     15:04:56
433     15:04:56
433     15:04:56
433     15:04:56
436     15:04:56
436     15:04:56
434     15:04:56
427     15:04:56
433     15:04:56
432     15:04:56
427     15:04:56
427     15:04:56
427     15:04:56
428     15:04:56
427     15:04:56
427     15:04:56
431     15:04:56
431     15:04:56
431     15:04:56
432     15:04:56
435     15:04:56
438     15:04:56
435     15:04:56
439     15:04:56
436     15:04:56
435     15:04:56
436     15:04:56
433     15:04:56
441     15:04:56
435     15:04:56
435     15:04:56
433     15:04:56
432     15:04:56
431     15:04:56
429     15:04:56
427     15:04:56
431     15:04:56
427     15:04:56
424     15:04:56
424     15:04:56
427     15:04:56
427     15:04:56
429     15:04:56
426     15:04:56
429     15:04:56
432     15:04:56
432     15:04:56
431     15:04:56
434     15:04:56
436     15:04:56
432     15:04:56
436     15:04:56
436     15:04:56
435     15:04:56
434     15:04:56
432     15:04:56
432     15:04:56
432     15:04:56
430     15:04:56
429     15:04:56
431     15:04:56
430     15:04:56
431     15:04:56
431     15:04:56
435     15:04:56
